
 sfworker.cc l261 tx_time 3.364777, tti 4904, rnti 70
 sfworker.cc l261 tx_time 3.384777, tti 4924, rnti 70
 sfworker.cc l261 tx_time 3.404777, tti 4944, rnti 70
 sfworker.cc l261 tx_time 3.424777, tti 4964, rnti 70
 sfworker.cc l261 tx_time 3.444777, tti 4984, rnti 70
 sfworker.cc l261 tx_time 3.464777, tti 5004, rnti 70
 sfworker.cc l261 tx_time 3.504777, tti 5044, rnti 70
 sfworker.cc l261 tx_time 3.544777, tti 5084, rnti 70
 sfworker.cc l261 tx_time 3.584777, tti 5124, rnti 70
 sfworker.cc l261 tx_time 3.624777, tti 5164, rnti 70
 sfworker.cc l261 tx_time 3.664777, tti 5204, rnti 70
 sfworker.cc l261 tx_time 3.704777, tti 5244, rnti 70
 sfworker.cc l261 tx_time 3.744777, tti 5284, rnti 70
 sfworker.cc l261 tx_time 3.784777, tti 5324, rnti 70
 sfworker.cc l261 tx_time 3.824777, tti 5364, rnti 70
 sfworker.cc l261 tx_time 3.864777, tti 5404, rnti 70
 sfworker.cc l261 tx_time 3.904777, tti 5444, rnti 70
 sfworker.cc l261 tx_time 3.944777, tti 5484, rnti 70
 sfworker.cc l261 tx_time 3.984777, tti 5524, rnti 70
 sfworker.cc l261 tx_time 4.024777, tti 5564, rnti 70
 sfworker.cc l261 tx_time 4.064777, tti 5604, rnti 70
 sfworker.cc l261 tx_time 4.104778, tti 5644, rnti 70
 sfworker.cc l261 tx_time 4.144778, tti 5684, rnti 70
 sfworker.cc l261 tx_time 4.184778, tti 5724, rnti 70
 sfworker.cc l261 tx_time 4.224778, tti 5764, rnti 70
 sfworker.cc l261 tx_time 4.264778, tti 5804, rnti 70
 sfworker.cc l261 tx_time 4.304778, tti 5844, rnti 70
 sfworker.cc l261 tx_time 4.344778, tti 5884, rnti 70
 sfworker.cc l261 tx_time 4.384778, tti 5924, rnti 70
 sfworker.cc l261 tx_time 4.424778, tti 5964, rnti 70
 sfworker.cc l261 tx_time 4.464778, tti 6004, rnti 70
 sfworker.cc l261 tx_time 4.504778, tti 6044, rnti 70
 sfworker.cc l261 tx_time 4.544778, tti 6084, rnti 70
 sfworker.cc l261 tx_time 4.584778, tti 6124, rnti 70
 sfworker.cc l261 tx_time 4.624778, tti 6164, rnti 70
 sfworker.cc l261 tx_time 4.664778, tti 6204, rnti 70
 sfworker.cc l261 tx_time 4.704778, tti 6244, rnti 70
 sfworker.cc l261 tx_time 4.744778, tti 6284, rnti 70
 sfworker.cc l261 tx_time 4.784778, tti 6324, rnti 70
 sfworker.cc l261 tx_time 4.824778, tti 6364, rnti 70
 sfworker.cc l261 tx_time 4.864778, tti 6404, rnti 70
 sfworker.cc l261 tx_time 4.904778, tti 6444, rnti 70
 sfworker.cc l261 tx_time 4.944778, tti 6484, rnti 70
 sfworker.cc l261 tx_time 4.984779, tti 6524, rnti 70
 sfworker.cc l261 tx_time 5.024779, tti 6564, rnti 70
 sfworker.cc l261 tx_time 5.064779, tti 6604, rnti 70
 sfworker.cc l261 tx_time 5.104779, tti 6644, rnti 70
 sfworker.cc l261 tx_time 5.144779, tti 6684, rnti 70
 sfworker.cc l261 tx_time 5.184779, tti 6724, rnti 70
 sfworker.cc l261 tx_time 5.224779, tti 6764, rnti 70
 sfworker.cc l261 tx_time 5.264779, tti 6804, rnti 70
 sfworker.cc l261 tx_time 5.304779, tti 6844, rnti 70
 sfworker.cc l261 tx_time 5.344779, tti 6884, rnti 70
 sfworker.cc l261 tx_time 5.384779, tti 6924, rnti 70
 sfworker.cc l261 tx_time 5.424779, tti 6964, rnti 70
 sfworker.cc l261 tx_time 5.464779, tti 7004, rnti 70
 sfworker.cc l261 tx_time 5.504779, tti 7044, rnti 70
 sfworker.cc l261 tx_time 5.544779, tti 7084, rnti 70
 sfworker.cc l261 tx_time 5.584779, tti 7124, rnti 70
 sfworker.cc l261 tx_time 5.624779, tti 7164, rnti 70
 sfworker.cc l261 tx_time 5.664779, tti 7204, rnti 70
 sfworker.cc l261 tx_time 5.704779, tti 7244, rnti 70
 sfworker.cc l261 tx_time 5.744779, tti 7284, rnti 70
 sfworker.cc l261 tx_time 5.784779, tti 7324, rnti 70
 sfworker.cc l261 tx_time 5.824779, tti 7364, rnti 70
 sfworker.cc l261 tx_time 5.864779, tti 7404, rnti 70
 sfworker.cc l261 tx_time 5.904780, tti 7444, rnti 70
 sfworker.cc l261 tx_time 5.944780, tti 7484, rnti 70
 sfworker.cc l261 tx_time 5.984780, tti 7524, rnti 70
