
 sfworker.cc l261 tx_time 16.278393, tti 3938, rnti 95
 sfworker.cc l261 tx_time 16.282393, tti 3942, rnti 95
 sfworker.cc l261 tx_time 16.284393, tti 3944, rnti 95
 sfworker.cc l261 tx_time 16.286393, tti 3946, rnti 95
 sfworker.cc l261 tx_time 17.264394, tti 4924, rnti 95
 sfworker.cc l261 tx_time 17.274394, tti 4934, rnti 95
 sfworker.cc l261 tx_time 17.276394, tti 4936, rnti 95
 sfworker.cc l261 tx_time 17.278394, tti 4938, rnti 95
 sfworker.cc l261 tx_time 17.282394, tti 4942, rnti 95
 sfworker.cc l261 tx_time 17.284394, tti 4944, rnti 95
 sfworker.cc l261 tx_time 18.264396, tti 5924, rnti 95
 sfworker.cc l261 tx_time 18.274396, tti 5934, rnti 95
 sfworker.cc l261 tx_time 18.276396, tti 5936, rnti 95
 sfworker.cc l261 tx_time 18.278396, tti 5938, rnti 95
 sfworker.cc l261 tx_time 18.282396, tti 5942, rnti 95
 sfworker.cc l261 tx_time 18.284396, tti 5944, rnti 95
 sfworker.cc l261 tx_time 18.286396, tti 5946, rnti 95
 sfworker.cc l261 tx_time 19.264397, tti 6924, rnti 95
 sfworker.cc l261 tx_time 19.274397, tti 6934, rnti 95
 sfworker.cc l261 tx_time 19.276397, tti 6936, rnti 95
 sfworker.cc l261 tx_time 19.278397, tti 6938, rnti 95
 sfworker.cc l261 tx_time 19.282397, tti 6942, rnti 95
 sfworker.cc l261 tx_time 19.284397, tti 6944, rnti 95
 sfworker.cc l261 tx_time 19.286397, tti 6946, rnti 95
 sfworker.cc l261 tx_time 20.264398, tti 7924, rnti 95
 sfworker.cc l261 tx_time 20.274398, tti 7934, rnti 95
 sfworker.cc l261 tx_time 20.276398, tti 7936, rnti 95
 sfworker.cc l261 tx_time 20.278398, tti 7938, rnti 95
 sfworker.cc l261 tx_time 20.282398, tti 7942, rnti 95
 sfworker.cc l261 tx_time 20.284398, tti 7944, rnti 95
 sfworker.cc l261 tx_time 21.264399, tti 8924, rnti 95
 sfworker.cc l261 tx_time 21.274399, tti 8934, rnti 95
 sfworker.cc l261 tx_time 21.276399, tti 8936, rnti 95
 sfworker.cc l261 tx_time 21.278399, tti 8938, rnti 95
 sfworker.cc l261 tx_time 21.282399, tti 8942, rnti 95
 sfworker.cc l261 tx_time 21.284399, tti 8944, rnti 95
 sfworker.cc l261 tx_time 22.264400, tti 9924, rnti 95
 sfworker.cc l261 tx_time 22.274400, tti 9934, rnti 95
 sfworker.cc l261 tx_time 22.276400, tti 9936, rnti 95
 sfworker.cc l261 tx_time 22.278400, tti 9938, rnti 95
 sfworker.cc l261 tx_time 22.282400, tti 9942, rnti 95
 sfworker.cc l261 tx_time 22.284400, tti 9944, rnti 95
