
 sfworker.cc l261 tx_time 3.401349, tti 7144, rnti 70
 sfworker.cc l261 tx_time 3.421349, tti 7164, rnti 70
 sfworker.cc l261 tx_time 3.441349, tti 7184, rnti 70
 sfworker.cc l261 tx_time 3.461349, tti 7204, rnti 70
 sfworker.cc l261 tx_time 3.481349, tti 7224, rnti 70
 sfworker.cc l261 tx_time 3.501349, tti 7244, rnti 70
 sfworker.cc l261 tx_time 3.521349, tti 7264, rnti 70
 sfworker.cc l261 tx_time 3.541349, tti 7284, rnti 70
 sfworker.cc l261 tx_time 3.581349, tti 7324, rnti 70
 sfworker.cc l261 tx_time 3.621349, tti 7364, rnti 70
 sfworker.cc l261 tx_time 3.661349, tti 7404, rnti 70
 sfworker.cc l261 tx_time 3.701349, tti 7444, rnti 70
 sfworker.cc l261 tx_time 3.721349, tti 7464, rnti 70
 sfworker.cc l261 tx_time 3.741349, tti 7484, rnti 70
 sfworker.cc l261 tx_time 3.781349, tti 7524, rnti 70
 sfworker.cc l261 tx_time 3.821349, tti 7564, rnti 70
 sfworker.cc l261 tx_time 3.861349, tti 7604, rnti 70
 sfworker.cc l261 tx_time 3.901349, tti 7644, rnti 70
 sfworker.cc l261 tx_time 3.941350, tti 7684, rnti 70
 sfworker.cc l261 tx_time 3.981350, tti 7724, rnti 70
 sfworker.cc l261 tx_time 4.021350, tti 7764, rnti 70
 sfworker.cc l261 tx_time 4.061350, tti 7804, rnti 70
 sfworker.cc l261 tx_time 4.101350, tti 7844, rnti 70
 sfworker.cc l261 tx_time 4.141350, tti 7884, rnti 70
 sfworker.cc l261 tx_time 4.181350, tti 7924, rnti 70
 sfworker.cc l261 tx_time 4.221350, tti 7964, rnti 70
 sfworker.cc l261 tx_time 4.261350, tti 8004, rnti 70
 sfworker.cc l261 tx_time 4.301350, tti 8044, rnti 70
 sfworker.cc l261 tx_time 4.341350, tti 8084, rnti 70
 sfworker.cc l261 tx_time 4.381350, tti 8124, rnti 70
 sfworker.cc l261 tx_time 4.421350, tti 8164, rnti 70
 sfworker.cc l261 tx_time 4.461350, tti 8204, rnti 70
 sfworker.cc l261 tx_time 4.501350, tti 8244, rnti 70
 sfworker.cc l261 tx_time 4.541350, tti 8284, rnti 70
 sfworker.cc l261 tx_time 4.581350, tti 8324, rnti 70
 sfworker.cc l261 tx_time 4.621350, tti 8364, rnti 70
 sfworker.cc l261 tx_time 4.661350, tti 8404, rnti 70
 sfworker.cc l261 tx_time 4.701350, tti 8444, rnti 70
 sfworker.cc l261 tx_time 4.741350, tti 8484, rnti 70
 sfworker.cc l261 tx_time 4.781350, tti 8524, rnti 70
 sfworker.cc l261 tx_time 4.821350, tti 8564, rnti 70
 sfworker.cc l261 tx_time 4.861351, tti 8604, rnti 70
 sfworker.cc l261 tx_time 4.901351, tti 8644, rnti 70
 sfworker.cc l261 tx_time 4.941351, tti 8684, rnti 70
 sfworker.cc l261 tx_time 4.981351, tti 8724, rnti 70
 sfworker.cc l261 tx_time 5.021351, tti 8764, rnti 70
 sfworker.cc l261 tx_time 5.061351, tti 8804, rnti 70
 sfworker.cc l261 tx_time 5.101351, tti 8844, rnti 70
 sfworker.cc l261 tx_time 5.141351, tti 8884, rnti 70
 sfworker.cc l261 tx_time 5.181351, tti 8924, rnti 70
 sfworker.cc l261 tx_time 5.221351, tti 8964, rnti 70
 sfworker.cc l261 tx_time 5.261351, tti 9004, rnti 70
 sfworker.cc l261 tx_time 5.301351, tti 9044, rnti 70
 sfworker.cc l261 tx_time 5.341351, tti 9084, rnti 70
 sfworker.cc l261 tx_time 5.381351, tti 9124, rnti 70
 sfworker.cc l261 tx_time 5.421351, tti 9164, rnti 70
 sfworker.cc l261 tx_time 5.461351, tti 9204, rnti 70
 sfworker.cc l261 tx_time 5.501351, tti 9244, rnti 70
 sfworker.cc l261 tx_time 5.541351, tti 9284, rnti 70
 sfworker.cc l261 tx_time 5.581351, tti 9324, rnti 70
 sfworker.cc l261 tx_time 5.621351, tti 9364, rnti 70
 sfworker.cc l261 tx_time 5.661351, tti 9404, rnti 70
 sfworker.cc l261 tx_time 5.701351, tti 9444, rnti 70
 sfworker.cc l261 tx_time 5.741351, tti 9484, rnti 70
 sfworker.cc l261 tx_time 5.781352, tti 9524, rnti 70
 sfworker.cc l261 tx_time 5.821352, tti 9564, rnti 70
 sfworker.cc l261 tx_time 5.861352, tti 9604, rnti 70
 sfworker.cc l261 tx_time 5.901352, tti 9644, rnti 70
 sfworker.cc l261 tx_time 5.941352, tti 9684, rnti 70
 sfworker.cc l261 tx_time 5.981352, tti 9724, rnti 70
 sfworker.cc l261 tx_time 6.021352, tti 9764, rnti 70
