 
 Sfworker.cc tti-dl 4997 tti-ul 5001, rnti 2, time 99.866284, nofg=1 
 Sfworker.cc tti-dl 5017 tti-ul 5021, rnti 2, time 99.886284, nofg=1 
 Sfworker.cc tti-dl 5037 tti-ul 5041, rnti 2, time 99.906284, nofg=1 
 Sfworker.cc tti-dl 5057 tti-ul 5061, rnti 2, time 99.926284, nofg=1 
 Sfworker.cc tti-dl 5077 tti-ul 5081, rnti 2, time 99.946284, nofg=1 
 Sfworker.cc tti-dl 9467 tti-ul 9471, rnti 2, time 104.336284, nofg=1 
 Sfworker.cc tti-dl 5018 tti-ul 5022, rnti 2, time 99.887284, nofg=1 
 Sfworker.cc tti-dl 5038 tti-ul 5042, rnti 2, time 99.907284, nofg=1 
 Sfworker.cc tti-dl 5098 tti-ul 5102, rnti 2, time 99.967284, nofg=1 
 Sfworker.cc tti-dl 5138 tti-ul 5142, rnti 2, time 100.007284, nofg=1 
 Sfworker.cc tti-dl 5156 tti-ul 5160, rnti 2, time 100.025284, nofg=1 
 Sfworker.cc tti-dl 5158 tti-ul 5162, rnti 2, time 100.027284, nofg=1 
 Sfworker.cc tti-dl 5176 tti-ul 5180, rnti 2, time 100.045284, nofg=1 
 Sfworker.cc tti-dl 5178 tti-ul 5182, rnti 2, time 100.047284, nofg=1 
 Sfworker.cc tti-dl 9306 tti-ul 9310, rnti 2, time 104.175284, nofg=1 
 Sfworker.cc tti-dl 9326 tti-ul 9330, rnti 2, time 104.195284, nofg=1 
 Sfworker.cc tti-dl 9366 tti-ul 9370, rnti 2, time 104.235284, nofg=1 
 Sfworker.cc tti-dl 9386 tti-ul 9390, rnti 2, time 104.255284, nofg=1 
 Sfworker.cc tti-dl 9388 tti-ul 9392, rnti 2, time 104.257284, nofg=1 
 Sfworker.cc tti-dl 9406 tti-ul 9410, rnti 2, time 104.275284, nofg=1 
 Sfworker.cc tti-dl 9426 tti-ul 9430, rnti 2, time 104.295284, nofg=1 
 Sfworker.cc tti-dl 9448 tti-ul 9452, rnti 2, time 104.317284, nofg=1 
 Sfworker.cc tti-dl 9468 tti-ul 9472, rnti 2, time 104.337284, nofg=1 
 Sfworker.cc tti-dl 9486 tti-ul 9490, rnti 2, time 104.355284, nofg=1 
 Sfworker.cc tti-dl 3406 tti-ul 3410, rnti 2, time 108.515284, nofg=1 
 Sfworker.cc tti-dl 3426 tti-ul 3430, rnti 2, time 108.535284, nofg=1 
 Sfworker.cc tti-dl 3446 tti-ul 3450, rnti 2, time 108.555284, nofg=1 
 Sfworker.cc tti-dl 3466 tti-ul 3470, rnti 2, time 108.575284, nofg=1 
 Sfworker.cc tti-dl 3486 tti-ul 3490, rnti 2, time 108.595284, nofg=1 
 Sfworker.cc tti-dl 3506 tti-ul 3510, rnti 2, time 108.615284, nofg=1 
 Sfworker.cc tti-dl 3526 tti-ul 3530, rnti 2, time 108.635284, nofg=1 
 Sfworker.cc tti-dl 3546 tti-ul 3550, rnti 2, time 108.655284, nofg=1 
 Sfworker.cc tti-dl 3548 tti-ul 3552, rnti 2, time 108.657284, nofg=1 
 Sfworker.cc tti-dl 3566 tti-ul 3570, rnti 2, time 108.675284, nofg=1 
 Sfworker.cc tti-dl 6636 tti-ul 6640, rnti 2, time 214.145284, nofg=1 
 Sfworker.cc tti-dl 6656 tti-ul 6660, rnti 2, time 214.165284, nofg=1 
 Sfworker.cc tti-dl 6676 tti-ul 6680, rnti 2, time 214.185284, nofg=1 
 Sfworker.cc tti-dl 6696 tti-ul 6700, rnti 2, time 214.205284, nofg=1 
 Sfworker.cc tti-dl 6716 tti-ul 6720, rnti 2, time 214.225284, nofg=1 
 Sfworker.cc tti-dl 6718 tti-ul 6722, rnti 2, time 214.227284, nofg=1 
 Sfworker.cc tti-dl 6736 tti-ul 6740, rnti 2, time 214.245284, nofg=1 
 Sfworker.cc tti-dl 6756 tti-ul 6760, rnti 2, time 214.265284, nofg=1 
 Sfworker.cc tti-dl 6776 tti-ul 6780, rnti 2, time 214.285284, nofg=1 
 Sfworker.cc tti-dl 9166 tti-ul 9170, rnti 2, time 267.875284, nofg=1
