 
 Sfworker.cc tti-dl 6917 tti-ul 6921, rnti 2, time 9.629997, nofg=1 
 Sfworker.cc tti-dl 7273 tti-ul 7277, rnti 70, time 9.985997, nofg=1 
 Sfworker.cc tti-dl 7293 tti-ul 7297, rnti 70, time 10.005997, nofg=1 
 Sfworker.cc tti-dl 7313 tti-ul 7317, rnti 70, time 10.025997, nofg=1 
 Sfworker.cc tti-dl 7333 tti-ul 7337, rnti 70, time 10.045997, nofg=1 
 Sfworker.cc tti-dl 7353 tti-ul 7357, rnti 70, time 10.065997, nofg=1 
 Sfworker.cc tti-dl 7373 tti-ul 7377, rnti 70, time 10.085997, nofg=1 
 Sfworker.cc tti-dl 7413 tti-ul 7417, rnti 70, time 10.125997, nofg=1 
 Sfworker.cc tti-dl 7575 tti-ul 7579, rnti 70, time 10.287997, nofg=1 
 Sfworker.cc tti-dl 1769 tti-ul 1773, rnti 70, time 14.721997, nofg=2 
 Sfworker.cc tti-dl 3771 tti-ul 3775, rnti 70, time 16.723997, nofg=1 
 Sfworker.cc tti-dl 6775 tti-ul 6779, rnti 70, time 19.727997, nofg=1 
 Sfworker.cc tti-dl 7777 tti-ul 7781, rnti 70, time 20.729997, nofg=1 
 Sfworker.cc tti-dl 9779 tti-ul 9783, rnti 70, time 22.731997, nofg=2 
 Sfworker.cc tti-dl 1541 tti-ul 1545, rnti 70, time 24.733997, nofg=1 
 Sfworker.cc tti-dl 2543 tti-ul 2547, rnti 70, time 25.735997, nofg=1 
 Sfworker.cc tti-dl 6934 tti-ul 6938, rnti 70, time 9.646997, nofg=1 
 Sfworker.cc tti-dl 768 tti-ul 772, rnti 70, time 13.720997, nofg=1 
 Sfworker.cc tti-dl 2770 tti-ul 2774, rnti 70, time 15.722997, nofg=1 
 Sfworker.cc tti-dl 4772 tti-ul 4776, rnti 70, time 17.724997, nofg=1 
 Sfworker.cc tti-dl 5774 tti-ul 5778, rnti 70, time 18.726997, nofg=1 
 Sfworker.cc tti-dl 8778 tti-ul 8782, rnti 70, time 21.730997, nofg=1 
 Sfworker.cc tti-dl 540 tti-ul 544, rnti 70, time 23.732997, nofg=1
