 
 Sfworker.cc tti-dl 4677 tti-ul 4681, rnti 2, time 17.639815, nofg=1 
 Sfworker.cc tti-dl 4693 tti-ul 4697, rnti 70, time 17.655815, nofg=1 
 Sfworker.cc tti-dl 5033 tti-ul 5037, rnti 70, time 17.995815, nofg=1 
 Sfworker.cc tti-dl 5053 tti-ul 5057, rnti 70, time 18.015815, nofg=1 
 Sfworker.cc tti-dl 5073 tti-ul 5077, rnti 70, time 18.035815, nofg=1 
 Sfworker.cc tti-dl 5093 tti-ul 5097, rnti 70, time 18.055815, nofg=1 
 Sfworker.cc tti-dl 5113 tti-ul 5117, rnti 70, time 18.075815, nofg=1 
 Sfworker.cc tti-dl 5133 tti-ul 5137, rnti 70, time 18.095815, nofg=1 
 Sfworker.cc tti-dl 5173 tti-ul 5177, rnti 70, time 18.135815, nofg=1 
 Sfworker.cc tti-dl 5335 tti-ul 5339, rnti 70, time 18.297815, nofg=1 
 Sfworker.cc tti-dl 9527 tti-ul 9531, rnti 70, time 42.969815, nofg=1 
 Sfworker.cc tti-dl 1289 tti-ul 1293, rnti 70, time 44.971815, nofg=2 
 Sfworker.cc tti-dl 4293 tti-ul 4297, rnti 70, time 47.975815, nofg=1 
 Sfworker.cc tti-dl 6295 tti-ul 6299, rnti 70, time 49.977815, nofg=1 
 Sfworker.cc tti-dl 9299 tti-ul 9303, rnti 70, time 52.981815, nofg=2 
 Sfworker.cc tti-dl 2063 tti-ul 2067, rnti 70, time 55.985815, nofg=1 
 Sfworker.cc tti-dl 4065 tti-ul 4069, rnti 70, time 57.987815, nofg=2 
 Sfworker.cc tti-dl 7069 tti-ul 7073, rnti 70, time 60.991815, nofg=1 
 Sfworker.cc tti-dl 8071 tti-ul 8075, rnti 70, time 61.993815, nofg=1 
 Sfworker.cc tti-dl 835 tti-ul 839, rnti 70, time 64.997815, nofg=1 
 Sfworker.cc tti-dl 2837 tti-ul 2841, rnti 70, time 66.999815, nofg=1 
 Sfworker.cc tti-dl 3839 tti-ul 3843, rnti 70, time 68.001815, nofg=1 
 Sfworker.cc tti-dl 5841 tti-ul 5845, rnti 70, time 70.003815, nofg=1 
 Sfworker.cc tti-dl 7843 tti-ul 7847, rnti 70, time 72.005815, nofg=1 
 Sfworker.cc tti-dl 8845 tti-ul 8849, rnti 70, time 73.007815, nofg=2 
 Sfworker.cc tti-dl 607 tti-ul 611, rnti 70, time 75.009815, nofg=1 
 Sfworker.cc tti-dl 1609 tti-ul 1613, rnti 70, time 76.011815, nofg=2 
 Sfworker.cc tti-dl 3611 tti-ul 3615, rnti 70, time 78.013815, nofg=1 
 Sfworker.cc tti-dl 6615 tti-ul 6619, rnti 70, time 81.017815, nofg=1 
 Sfworker.cc tti-dl 7617 tti-ul 7621, rnti 70, time 82.019815, nofg=1 
 Sfworker.cc tti-dl 8619 tti-ul 8623, rnti 70, time 83.021815, nofg=1 
 Sfworker.cc tti-dl 381 tti-ul 385, rnti 70, time 85.023815, nofg=1 
 Sfworker.cc tti-dl 3385 tti-ul 3389, rnti 70, time 88.027815, nofg=2 
 Sfworker.cc tti-dl 6389 tti-ul 6393, rnti 70, time 91.031815, nofg=1 
 Sfworker.cc tti-dl 7391 tti-ul 7395, rnti 70, time 92.033815, nofg=1 
 Sfworker.cc tti-dl 9393 tti-ul 9397, rnti 70, time 94.035815, nofg=1 
 Sfworker.cc tti-dl 3159 tti-ul 3163, rnti 70, time 98.041815, nofg=1 
 Sfworker.cc tti-dl 5161 tti-ul 5165, rnti 70, time 100.043815, nofg=1 
 Sfworker.cc tti-dl 6163 tti-ul 6167, rnti 70, time 101.045815, nofg=1 
 Sfworker.cc tti-dl 10169 tti-ul 10173, rnti 70, time 105.051815, nofg=1 
 Sfworker.cc tti-dl 3935 tti-ul 3939, rnti 70, time 109.057815, nofg=1 
 Sfworker.cc tti-dl 5937 tti-ul 5941, rnti 70, time 111.059815, nofg=1 
 Sfworker.cc tti-dl 6939 tti-ul 6943, rnti 70, time 112.061815, nofg=1 
 Sfworker.cc tti-dl 7941 tti-ul 7945, rnti 70, time 113.063815, nofg=1 
 Sfworker.cc tti-dl 9943 tti-ul 9947, rnti 70, time 115.065815, nofg=1 
 Sfworker.cc tti-dl 1705 tti-ul 1709, rnti 70, time 117.067815, nofg=2 
 Sfworker.cc tti-dl 5711 tti-ul 5715, rnti 70, time 121.073815, nofg=1 
 Sfworker.cc tti-dl 7713 tti-ul 7717, rnti 70, time 123.075815, nofg=1 
 Sfworker.cc tti-dl 8715 tti-ul 8719, rnti 70, time 124.077815, nofg=1 
 Sfworker.cc tti-dl 1479 tti-ul 1483, rnti 70, time 127.081815, nofg=1 
 Sfworker.cc tti-dl 4483 tti-ul 4487, rnti 70, time 130.085815, nofg=1 
 Sfworker.cc tti-dl 5483 tti-ul 5487, rnti 70, time 131.085815, nofg=1 
 Sfworker.cc tti-dl 6485 tti-ul 6489, rnti 70, time 132.087815, nofg=2 
 Sfworker.cc tti-dl 9489 tti-ul 9493, rnti 70, time 135.091815, nofg=1 
 Sfworker.cc tti-dl 251 tti-ul 255, rnti 70, time 136.093815, nofg=1 
 Sfworker.cc tti-dl 2253 tti-ul 2257, rnti 70, time 138.095815, nofg=1 
 Sfworker.cc tti-dl 6259 tti-ul 6263, rnti 70, time 142.101815, nofg=2 
 Sfworker.cc tti-dl 25 tti-ul 29,  
 Sfworker.cc tti-dl 288 tti-ul 292, rnti 70, time 43.970815, nofg=1 
 Sfworker.cc tti-dl 2290 tti-ul 2294, rnti 70, time 45.972815, nofg=1 
 Sfworker.cc tti-dl 3292 tti-ul 3296, rnti 70, time 46.974815, nofg=1 
 Sfworker.cc tti-dl 5294 tti-ul 5298, rnti 70, time 48.976815, nofg=1 
 Sfworker.cc tti-dl 7296 tti-ul 7300, rnti 70, time 50.978815, nofg=1 
 Sfworker.cc tti-dl 8298 tti-ul 8302, rnti 70, time 51.980815, nofg=1 
 Sfworker.cc tti-dl 60 tti-ul 64, rnti 70, time 53.982815, nofg=1 
