 
 Sfworker.cc tti-dl 8197 tti-ul 8201, rnti 2, time 10.900997, nofg=1 
 Sfworker.cc tti-dl 8553 tti-ul 8557, rnti 70, time 11.256997, nofg=1 
 Sfworker.cc tti-dl 8573 tti-ul 8577, rnti 70, time 11.276997, nofg=1 
 Sfworker.cc tti-dl 8593 tti-ul 8597, rnti 70, time 11.296997, nofg=1 
 Sfworker.cc tti-dl 8613 tti-ul 8617, rnti 70, time 11.316997, nofg=1 
 Sfworker.cc tti-dl 8633 tti-ul 8637, rnti 70, time 11.336997, nofg=1 
 Sfworker.cc tti-dl 8653 tti-ul 8657, rnti 70, time 11.356997, nofg=1 
 Sfworker.cc tti-dl 8693 tti-ul 8697, rnti 70, time 11.396997, nofg=1 
 Sfworker.cc tti-dl 4953 tti-ul 4957, rnti 70, time 17.896997, nofg=1 
 Sfworker.cc tti-dl 5955 tti-ul 5959, rnti 70, time 18.898997, nofg=1 
 Sfworker.cc tti-dl 8959 tti-ul 8963, rnti 70, time 21.902997, nofg=1 
 Sfworker.cc tti-dl 721 tti-ul 725, rnti 70, time 23.904997, nofg=1 
 Sfworker.cc tti-dl 1723 tti-ul 1727, rnti 70, time 24.906997, nofg=1 
 Sfworker.cc tti-dl 3725 tti-ul 3729, rnti 70, time 26.908997, nofg=2 
 Sfworker.cc tti-dl 4727 tti-ul 4731, rnti 70, time 27.910997, nofg=1 
 Sfworker.cc tti-dl 7781 tti-ul 7785, rnti 70, time 30.964997, nofg=1 
 Sfworker.cc tti-dl 6753 tti-ul 6757, rnti 70, time 40.176997, nofg=1 
 Sfworker.cc tti-dl 8214 tti-ul 8218, rnti 70, time 10.917997, nofg=1 
 Sfworker.cc tti-dl 8856 tti-ul 8860, rnti 70, time 11.559997, nofg=1 
 Sfworker.cc tti-dl 6956 tti-ul 6960, rnti 70, time 19.899997, nofg=1 
 Sfworker.cc tti-dl 7958 tti-ul 7962, rnti 70, time 20.901997, nofg=1 
 Sfworker.cc tti-dl 9960 tti-ul 9964, rnti 70, time 22.903997, nofg=1 
 Sfworker.cc tti-dl 2724 tti-ul 2728, rnti 70, time 25.907997, nofg=1 
 Sfworker.cc tti-dl 5728 tti-ul 5732, rnti 70, time 28.911997, nofg=1 
 Sfworker.cc tti-dl 6752 tti-ul 6756, rnti 70, time 29.935997, nofg=1 
 Sfworker.cc tti-dl 7780 tti-ul 7784, rnti 70, time 30.963997, nofg=1 
 Sfworker.cc tti-dl 8800 tti-ul 8804, rnti 70, time 31.983997, nofg=1 
 Sfworker.cc tti-dl 9824 tti-ul 9828, rnti 70, time 33.007997, nofg=1 
 Sfworker.cc tti-dl 608 tti-ul 612, rnti 70, time 34.031997, nofg=1 
 Sfworker.cc tti-dl 1632 tti-ul 1636, rnti 70, time 35.055997, nofg=1 
 Sfworker.cc tti-dl 2656 tti-ul 2660, rnti 70, time 36.079997, nofg=1 
 Sfworker.cc tti-dl 3680 tti-ul 3684, rnti 70, time 37.103997, nofg=1 
 Sfworker.cc tti-dl 4704 tti-ul 4708, rnti 70, time 38.127997, nofg=1 
 Sfworker.cc tti-dl 5728 tti-ul 5732, rnti 70, time 39.151997, nofg=1 
 Sfworker.cc tti-dl 6752 tti-ul 6756, rnti 70, time 40.175997, nofg=1 
 Sfworker.cc tti-dl 7776 tti-ul 7780, rnti 70, time 41.199997, nofg=1 
 Sfworker.cc tti-dl 8800 tti-ul 8804, rnti 70, time 42.223997, nofg=1
