 
 Sfworker.cc tti-dl 8507 tti-ul 8511, rnti 2, time 11.225535, nofg=1 
 Sfworker.cc tti-dl 8553 tti-ul 8557, rnti 70, time 11.271535, nofg=1 
 Sfworker.cc tti-dl 8573 tti-ul 8577, rnti 70, time 11.291535, nofg=1 
 Sfworker.cc tti-dl 8593 tti-ul 8597, rnti 70, time 11.311535, nofg=1 
 Sfworker.cc tti-dl 8613 tti-ul 8617, rnti 70, time 11.331535, nofg=1 
 Sfworker.cc tti-dl 8633 tti-ul 8637, rnti 70, time 11.351535, nofg=1 
 Sfworker.cc tti-dl 8653 tti-ul 8657, rnti 70, time 11.371535, nofg=1 
 Sfworker.cc tti-dl 8673 tti-ul 8677, rnti 70, time 11.391535, nofg=1 
 Sfworker.cc tti-dl 8857 tti-ul 8861, rnti 70, time 11.575535, nofg=1 
 Sfworker.cc tti-dl 8877 tti-ul 8881, rnti 70, time 11.595535, nofg=1 
 Sfworker.cc tti-dl 1641 tti-ul 1645, rnti 70, time 14.599535, nofg=1 
 Sfworker.cc tti-dl 3643 tti-ul 3647, rnti 70, time 16.601535, nofg=1 
 Sfworker.cc tti-dl 4645 tti-ul 4649, rnti 70, time 17.603535, nofg=2 
 Sfworker.cc tti-dl 9653 tti-ul 9657, rnti 70, time 22.611535, nofg=1 
 Sfworker.cc tti-dl 3419 tti-ul 3423, rnti 70, time 26.617535, nofg=1 
 Sfworker.cc tti-dl 6423 tti-ul 6427, rnti 70, time 29.621535, nofg=1 
 Sfworker.cc tti-dl 8425 tti-ul 8429, rnti 70, time 31.623535, nofg=2 
 Sfworker.cc tti-dl 8673 tti-ul 8677, rnti 70, time 31.871535, nofg=1 
 Sfworker.cc tti-dl 8524 tti-ul 8528, rnti 70, time 11.242535, nofg=1 
 Sfworker.cc tti-dl 9878 tti-ul 9882, rnti 70, time 12.596535, nofg=1 
 Sfworker.cc tti-dl 640 tti-ul 644, rnti 70, time 13.598535, nofg=1 
 Sfworker.cc tti-dl 2642 tti-ul 2646, rnti 70, time 15.600535, nofg=1 
 Sfworker.cc tti-dl 5646 tti-ul 5650, rnti 70, time 18.604535, nofg=1 
 Sfworker.cc tti-dl 6648 tti-ul 6652, rnti 70, time 19.606535, nofg=1 
 Sfworker.cc tti-dl 7650 tti-ul 7654, rnti 70, time 20.608535, nofg=1 
 Sfworker.cc tti-dl 8652 tti-ul 8656, rnti 70, time 21.610535, nofg=1 
 Sfworker.cc tti-dl 414 tti-ul 418, rnti 70, time 23.612535, nofg=1 
 Sfworker.cc tti-dl 1416 tti-ul 1420, rnti 70, time 24.614535, nofg=1 
 Sfworker.cc tti-dl 2418 tti-ul 2422, rnti 70, time 25.616535, nofg=1 
 Sfworker.cc tti-dl 4420 tti-ul 4424, rnti 70, time 27.618535, nofg=1 
 Sfworker.cc tti-dl 5422 tti-ul 5426, rnti 70, time 28.620535, nofg=1 
 Sfworker.cc tti-dl 7424 tti-ul 7428, rnti 70, time 30.622535, nofg=1 
 Sfworker.cc tti-dl 8674 tti-ul 8678, rnti 70, time 31.872535, nofg=1
