 
 Sfworker.cc tti-dl 6757 tti-ul 6761, rnti 2, time 9.467427, nofg=1 
 Sfworker.cc tti-dl 6777 tti-ul 6781, rnti 2, time 9.487427, nofg=1 
 Sfworker.cc tti-dl 6797 tti-ul 6801, rnti 2, time 9.507427, nofg=1 
 Sfworker.cc tti-dl 6817 tti-ul 6821, rnti 2, time 9.527427, nofg=1 
 Sfworker.cc tti-dl 6798 tti-ul 6802, rnti 2, time 9.508427, nofg=1 
 Sfworker.cc tti-dl 6818 tti-ul 6822, rnti 2, time 9.528427, nofg=1 
 Sfworker.cc tti-dl 6838 tti-ul 6842, rnti 2, time 9.548427, nofg=1 
 Sfworker.cc tti-dl 6856 tti-ul 6860, rnti 2, time 9.566427, nofg=1 
 Sfworker.cc tti-dl 6876 tti-ul 6880, rnti 2, time 9.586427, nofg=1 
 Sfworker.cc tti-dl 6896 tti-ul 6900, rnti 2, time 9.606427, nofg=1 
 Sfworker.cc tti-dl 6916 tti-ul 6920, rnti 2, time 9.626427, nofg=1 
 Sfworker.cc tti-dl 6938 tti-ul 6942, rnti 2, time 9.648427, nofg=1 
 Sfworker.cc tti-dl 826 tti-ul 830, rnti 2, time 13.776427, nofg=1 
 Sfworker.cc tti-dl 846 tti-ul 850, rnti 2, time 13.796427, nofg=1 
 Sfworker.cc tti-dl 866 tti-ul 870, rnti 2, time 13.816427, nofg=1 
 Sfworker.cc tti-dl 886 tti-ul 890, rnti 2, time 13.836427, nofg=1 
 Sfworker.cc tti-dl 908 tti-ul 912, rnti 2, time 13.858427, nofg=1 
 Sfworker.cc tti-dl 928 tti-ul 932, rnti 2, time 13.878427, nofg=1 
 Sfworker.cc tti-dl 950 tti-ul 954, rnti 2, time 13.900427, nofg=1 
 Sfworker.cc tti-dl 970 tti-ul 974, rnti 2, time 13.920427, nofg=1 
 Sfworker.cc tti-dl 988 tti-ul 992, rnti 2, time 13.938427, nofg=1 
 Sfworker.cc tti-dl 5146 tti-ul 5150, rnti 2, time 18.096427, nofg=1 
 Sfworker.cc tti-dl 5166 tti-ul 5170, rnti 2, time 18.116427, nofg=1 
 Sfworker.cc tti-dl 5186 tti-ul 5190, rnti 2, time 18.136427, nofg=1 
 Sfworker.cc tti-dl 5206 tti-ul 5210, rnti 2, time 18.156427, nofg=1 
 Sfworker.cc tti-dl 5228 tti-ul 5232, rnti 2, time 18.178427, nofg=1 
 Sfworker.cc tti-dl 5268 tti-ul 5272, rnti 2, time 18.218427, nofg=1 
 Sfworker.cc tti-dl 5288 tti-ul 5292, rnti 2, time 18.238427, nofg=1 
 Sfworker.cc tti-dl 5308 tti-ul 5312, rnti 2, time 18.258427, nofg=1 
 Sfworker.cc tti-dl 9466 tti-ul 9470, rnti 2, time 22.416427, nofg=1 
 Sfworker.cc tti-dl 9506 tti-ul 9510, rnti 2, time 22.456427, nofg=1 
 Sfworker.cc tti-dl 9526 tti-ul 9530, rnti 2, time 22.476427, nofg=1 
 Sfworker.cc tti-dl 9548 tti-ul 9552, rnti 2, time 22.498427, nofg=1 
 Sfworker.cc tti-dl 9566 tti-ul 9570, rnti 2, time 22.516427, nofg=1 
 Sfworker.cc tti-dl 9590 tti-ul 9594, rnti 2, time 22.540427, nofg=1 
 Sfworker.cc tti-dl 9608 tti-ul 9612, rnti 2, time 22.558427, nofg=1 
 Sfworker.cc tti-dl 9628 tti-ul 9632, rnti 2, time 22.578427, nofg=1 
 Sfworker.cc tti-dl 9630 tti-ul 9634, rnti 2, time 22.580427, nofg=1 
 Sfworker.cc tti-dl 9648 tti-ul 9652, rnti 2, time 22.598427, nofg=1 
 Sfworker.cc tti-dl 3546 tti-ul 3550, rnti 2, time 26.736427, nofg=1 
 Sfworker.cc tti-dl 3566 tti-ul 3570, rnti 2, time 26.756427, nofg=1 
 Sfworker.cc tti-dl 3586 tti-ul 3590, rnti 2, time 26.776427, nofg=1 
 Sfworker.cc tti-dl 3606 tti-ul 3610, rnti 2, time 26.796427, nofg=1 
 Sfworker.cc tti-dl 3628 tti-ul 3632, rnti 2, time 26.818427, nofg=1 
 Sfworker.cc tti-dl 3648 tti-ul 3652, rnti 2, time 26.838427, nofg=1 
 Sfworker.cc tti-dl 3668 tti-ul 3672, rnti 2, time 26.858427, nofg=1 
 Sfworker.cc tti-dl 3688 tti-ul 3692, rnti 2, time 26.878427, nofg=1 
 Sfworker.cc tti-dl 3708 tti-ul 3712, rnti 2, time 26.898427, nofg=1 
 Sfworker.cc tti-dl 3728 tti-ul 3732, rnti 2, time 26.918427, nofg=1
