 
 Sfworker.cc tti-dl 7557 tti-ul 7561, rnti 2, time 10.100864, nofg=1 
 Sfworker.cc tti-dl 7913 tti-ul 7917, rnti 70, time 10.456864, nofg=1 
 Sfworker.cc tti-dl 7933 tti-ul 7937, rnti 70, time 10.476864, nofg=1 
 Sfworker.cc tti-dl 7953 tti-ul 7957, rnti 70, time 10.496864, nofg=1 
 Sfworker.cc tti-dl 7973 tti-ul 7977, rnti 70, time 10.516864, nofg=1 
 Sfworker.cc tti-dl 7993 tti-ul 7997, rnti 70, time 10.536864, nofg=1 
 Sfworker.cc tti-dl 8013 tti-ul 8017, rnti 70, time 10.556864, nofg=1 
 Sfworker.cc tti-dl 8053 tti-ul 8057, rnti 70, time 10.596864, nofg=1 
 Sfworker.cc tti-dl 2559 tti-ul 2563, rnti 70, time 15.342864, nofg=1 
 Sfworker.cc tti-dl 4561 tti-ul 4565, rnti 70, time 17.344864, nofg=1 
 Sfworker.cc tti-dl 5563 tti-ul 5567, rnti 70, time 18.346864, nofg=1 
 Sfworker.cc tti-dl 7565 tti-ul 7569, rnti 70, time 20.348864, nofg=2 
 Sfworker.cc tti-dl 8567 tti-ul 8571, rnti 70, time 21.350864, nofg=1 
 Sfworker.cc tti-dl 329 tti-ul 333, rnti 70, time 23.352864, nofg=2 
 Sfworker.cc tti-dl 2331 tti-ul 2335, rnti 70, time 25.354864, nofg=1 
 Sfworker.cc tti-dl 3333 tti-ul 3337, rnti 70, time 26.356864, nofg=1 
 Sfworker.cc tti-dl 5335 tti-ul 5339, rnti 70, time 28.358864, nofg=1 
 Sfworker.cc tti-dl 9341 tti-ul 9345, rnti 70, time 32.364864, nofg=1 
 Sfworker.cc tti-dl 103 tti-ul 107, rnti 70, time 33.366864, nofg=1 
 Sfworker.cc tti-dl 2105 tti-ul 2109, rnti 70, time 35.368864, nofg=2 
 Sfworker.cc tti-dl 4107 tti-ul 4111, rnti 70, time 37.370864, nofg=1 
 Sfworker.cc tti-dl 5109 tti-ul 5113, rnti 70, time 38.372864, nofg=1 
 Sfworker.cc tti-dl 6111 tti-ul 6115, rnti 70, time 39.374864, nofg=1 
 Sfworker.cc tti-dl 7113 tti-ul 7117, rnti 70, time 40.376864, nofg=1 
 Sfworker.cc tti-dl 10117 tti-ul 10121, rnti 70, time 43.380864, nofg=1 
 Sfworker.cc tti-dl 1879 tti-ul 1883, rnti 70, time 45.382864, nofg=1 
 Sfworker.cc tti-dl 2881 tti-ul 2885, rnti 70, time 46.384864, nofg=1 
 Sfworker.cc tti-dl 3883 tti-ul 3887, rnti 70, time 47.386864, nofg=1 
 Sfworker.cc tti-dl 6887 tti-ul 6891, rnti 70, time 50.390864, nofg=1 
 Sfworker.cc tti-dl 8889 tti-ul 8893, rnti 70, time 52.392864, nofg=1 
 Sfworker.cc tti-dl 9891 tti-ul 9895, rnti 70, time 53.394864, nofg=1 
 Sfworker.cc tti-dl 653 tti-ul 657, rnti 70, time 54.396864, nofg=1 
 Sfworker.cc tti-dl 3657 tti-ul 3661, rnti 70, time 57.400864, nofg=1 
 Sfworker.cc tti-dl 4659 tti-ul 4663, rnti 70, time 58.402864, nofg=2 
 Sfworker.cc tti-dl 6661 tti-ul 6665, rnti 70, time 60.404864, nofg=1 
 Sfworker.cc tti-dl 7663 tti-ul 7667, rnti 70, time 61.406864, nofg=1 
 Sfworker.cc tti-dl 9665 tti-ul 9669, rnti 70, time 63.408864, nofg=2 
 Sfworker.cc tti-dl 427 tti-ul 431, rnti 70, time 64.410864, nofg=1 
 Sfworker.cc tti-dl 5433 tti-ul 5437, rnti 70, time 69.416864, nofg=1 
 Sfworker.cc tti-dl 8437 tti-ul 8441, rnti 70, time 72.420864, nofg=1 
