 
 Sfworker.cc tti-dl 6437 tti-ul 6441, rnti 2, time 9.164080, nofg=1 
 Sfworker.cc tti-dl 6833 tti-ul 6837, rnti 70, time 9.560080, nofg=1 
 Sfworker.cc tti-dl 6853 tti-ul 6857, rnti 70, time 9.580080, nofg=1 
 Sfworker.cc tti-dl 5798 tti-ul 5802, rnti 2, time 80.205080, nofg=1 
 Sfworker.cc tti-dl 8196 tti-ul 8200, rnti 2, time 164.523080, nofg=1 
 Sfworker.cc tti-dl 8554 tti-ul 8558, rnti 73, time 164.881080, nofg=1 
 Sfworker.cc tti-dl 8574 tti-ul 8578, rnti 73, time 164.901080, nofg=1 
 Sfworker.cc tti-dl 2294 tti-ul 2298, rnti 73, time 189.341080, nofg=1 
 Sfworker.cc tti-dl 5476 tti-ul 5480, rnti 2, time 202.763080, nofg=1 
 Sfworker.cc tti-dl 5516 tti-ul 5520, rnti 2, time 202.803080, nofg=1 
 Sfworker.cc tti-dl 5598 tti-ul 5602, rnti 2, time 202.885080, nofg=1 
 Sfworker.cc tti-dl 5656 tti-ul 5660, rnti 2, time 202.943080, nofg=1 
 Sfworker.cc tti-dl 9786 tti-ul 9790, rnti 2, time 207.073080, nofg=1 
 Sfworker.cc tti-dl 9826 tti-ul 9830, rnti 2, time 207.113080, nofg=1 
 Sfworker.cc tti-dl 9846 tti-ul 9850, rnti 2, time 207.133080, nofg=1 
 Sfworker.cc tti-dl 3866 tti-ul 3870, rnti 2, time 211.393080, nofg=1 
 Sfworker.cc tti-dl 3986 tti-ul 3990, rnti 2, time 211.513080, nofg=1 
 Sfworker.cc tti-dl 4006 tti-ul 4010, rnti 2, time 211.533080, nofg=1 
 Sfworker.cc tti-dl 4026 tti-ul 4030, rnti 2, time 211.553080, nofg=1 
 Sfworker.cc tti-dl 4048 tti-ul 4052, rnti 2, time 211.575080, nofg=1 
 Sfworker.cc tti-dl 8186 tti-ul 8190, rnti 2, time 215.713080, nofg=1 
 Sfworker.cc tti-dl 8246 tti-ul 8250, rnti 2, time 215.773080, nofg=1 
 Sfworker.cc tti-dl 8286 tti-ul 8290, rnti 2, time 215.813080, nofg=1 
 Sfworker.cc tti-dl 8306 tti-ul 8310, rnti 2, time 215.833080, nofg=1 
 Sfworker.cc tti-dl 2266 tti-ul 2270, rnti 2, time 220.033080, nofg=1 
 Sfworker.cc tti-dl 2306 tti-ul 2310, rnti 2, time 220.073080, nofg=1 
 Sfworker.cc tti-dl 2326 tti-ul 2330, rnti 2, time 220.093080, nofg=1 
 Sfworker.cc tti-dl 2446 tti-ul 2450, rnti 2, time 220.213080, nofg=1 
 Sfworker.cc tti-dl 6586 tti-ul 6590, rnti 2, time 224.353080, nofg=1 
 Sfworker.cc tti-dl 2746 tti-ul 2750, rnti 2, time 230.753080, nofg=1 
 Sfworker.cc tti-dl 2766 tti-ul 2770, rnti 2, time 230.773080, nofg=1 
 Sfworker.cc tti-dl 2786 tti-ul 2790, rnti 2, time 230.793080, nofg=1 
 Sfworker.cc tti-dl 2808 tti-ul 2812, rnti 2, time 230.815080, nofg=1 
 Sfworker.cc tti-dl 3706 tti-ul 3710, rnti 2, time 231.713080, nofg=1 
 Sfworker.cc tti-dl 3766 tti-ul 3770, rnti 2, time 231.773080, nofg=1 
 Sfworker.cc tti-dl 3806 tti-ul 3810, rnti 2, time 231.813080, nofg=1 
 Sfworker.cc tti-dl 8026 tti-ul 8030, rnti 2, time 236.033080, nofg=1 
 Sfworker.cc tti-dl 8066 tti-ul 8070, rnti 2, time 236.073080, nofg=1 
 Sfworker.cc tti-dl 8106 tti-ul 8110, rnti 2, time 236.113080, nofg=1 
 Sfworker.cc tti-dl 8126 tti-ul 8130, rnti 2, time 236.133080, nofg=1 
 Sfworker.cc tti-dl 8206 tti-ul 8210, rnti 2, time 236.213080, nofg=1 
 Sfworker.cc tti-dl 2166 tti-ul 2170, rnti 2, time 240.413080, nofg=1 
 Sfworker.cc tti-dl 2226 tti-ul 2230, rnti 2, time 240.473080, nofg=1 
 Sfworker.cc tti-dl 6446 tti-ul 6450, rnti 2, time 244.693080, nofg=1 
 Sfworker.cc tti-dl 6506 tti-ul 6510, rnti 2, time 244.753080, nofg=1 
 Sfworker.cc tti-dl 6566 tti-ul 6570, rnti 2, time 244.813080, nofg=1 
 Sfworker.cc tti-dl 506 tti-ul 510, rnti 2, time 248.993080, nofg=1 
 Sfworker.cc tti-dl 526 tti-ul 530, rnti 2, time 249.013080, nofg=1 
 Sfworker.cc tti-dl 546 tti-ul 550, rnti 2, time 249.033080, nofg=1 
 Sfworker.cc tti-dl 666 tti-ul 670, rnti 2, time 249.153080, nofg=1 
 Sfworker.cc tti-dl 686 tti-ul 690, rnti 2, time 249.173080, nofg=1 
 Sfworker.cc tti-dl 4826 tti-ul 4830, rnti 2, time 253.313080, nofg=1 
 Sfworker.cc tti-dl 4846 tti-ul 4850, rnti 2, time 253.333080, nofg=1 
