 
 Sfworker.cc tti-dl 8197 tti-ul 8201, rnti 2, time 10.901535, nofg=1 
 Sfworker.cc tti-dl 8553 tti-ul 8557, rnti 70, time 11.257535, nofg=1 
 Sfworker.cc tti-dl 8573 tti-ul 8577, rnti 70, time 11.277535, nofg=1 
 Sfworker.cc tti-dl 8593 tti-ul 8597, rnti 70, time 11.297535, nofg=1 
 Sfworker.cc tti-dl 8613 tti-ul 8617, rnti 70, time 11.317535, nofg=1 
 Sfworker.cc tti-dl 8633 tti-ul 8637, rnti 70, time 11.337535, nofg=1 
 Sfworker.cc tti-dl 8653 tti-ul 8657, rnti 70, time 11.357535, nofg=1 
 Sfworker.cc tti-dl 8693 tti-ul 8697, rnti 70, time 11.397535, nofg=1 
 Sfworker.cc tti-dl 4667 tti-ul 4671, rnti 2, time 17.611535, nofg=1 
 Sfworker.cc tti-dl 4679 tti-ul 4683, rnti 71, time 17.623535, nofg=1 
 Sfworker.cc tti-dl 7151 tti-ul 7155, rnti 73, time 30.335535, nofg=1 
 Sfworker.cc tti-dl 7513 tti-ul 7517, rnti 73, time 30.697535, nofg=1 
 Sfworker.cc tti-dl 8555 tti-ul 8559, rnti 74, time 41.979535, nofg=1 
 Sfworker.cc tti-dl 8001 tti-ul 8005, rnti 74, time 51.665535, nofg=1 
 Sfworker.cc tti-dl 9015 tti-ul 9019, rnti 74, time 52.679535, nofg=1 
 Sfworker.cc tti-dl 10017 tti-ul 10021, rnti 74, time 53.681535, nofg=1 
 Sfworker.cc tti-dl 2785 tti-ul 2789, rnti 74, time 56.689535, nofg=2 
 Sfworker.cc tti-dl 6821 tti-ul 6825, rnti 74, time 60.725535, nofg=1 
 Sfworker.cc tti-dl 9825 tti-ul 9829, rnti 74, time 63.729535, nofg=2 
 Sfworker.cc tti-dl 587 tti-ul 591, rnti 74, time 64.731535, nofg=1 
 Sfworker.cc tti-dl 3617 tti-ul 3621, rnti 74, time 67.761535, nofg=1 
 Sfworker.cc tti-dl 5623 tti-ul 5627, rnti 74, time 69.767535, nofg=1 
 Sfworker.cc tti-dl 6625 tti-ul 6629, rnti 74, time 70.769535, nofg=2 
 Sfworker.cc tti-dl 7627 tti-ul 7631, rnti 74, time 71.771535, nofg=1 
 Sfworker.cc tti-dl 2423 tti-ul 2427, rnti 74, time 76.807535, nofg=1 
 Sfworker.cc tti-dl 3425 tti-ul 3429, rnti 74, time 77.809535, nofg=2 
 Sfworker.cc tti-dl 5427 tti-ul 5431, rnti 74, time 79.811535, nofg=1 
 Sfworker.cc tti-dl 7457 tti-ul 7461, rnti 74, time 81.841535, nofg=1 
 Sfworker.cc tti-dl 9463 tti-ul 9467, rnti 74, time 83.847535, nofg=1 
 Sfworker.cc tti-dl 225 tti-ul 229, rnti 74, time 84.849535, nofg=2 
 Sfworker.cc tti-dl 1227 tti-ul 1231, rnti 74, time 85.851535, nofg=1 
 Sfworker.cc tti-dl 4257 tti-ul 4261, rnti 74, time 88.881535, nofg=1 
 Sfworker.cc tti-dl 5259 tti-ul 5263, rnti 74, time 89.883535, nofg=1 
 Sfworker.cc tti-dl 7265 tti-ul 7269, rnti 74, time 91.889535, nofg=2 
 Sfworker.cc tti-dl 9267 tti-ul 9271, rnti 74, time 93.891535, nofg=1 
 Sfworker.cc tti-dl 55 tti-ul 59, rnti 74, time 94.919535, nofg=1 
 Sfworker.cc tti-dl 8214 tti-ul 8218, rnti 70, time 10.918535, nofg=1 
 Sfworker.cc tti-dl 8856 tti-ul 8860, rnti 70, time 11.560535, nofg=1 
 Sfworker.cc tti-dl 4678 tti-ul 4682, rnti 71, time 17.622535, nofg=1 
 Sfworker.cc tti-dl 4680 tti-ul 4684, rnti 70, time 17.624535, nofg=1 
 Sfworker.cc tti-dl 4756 tti-ul 4760, rnti 2, time 17.700535, nofg=1 
 Sfworker.cc tti-dl 7136 tti-ul 7140, rnti 2, time 30.320535, nofg=1 
 Sfworker.cc tti-dl 8196 tti-ul 8200, rnti 2, time 41.620535, nofg=1 
 Sfworker.cc tti-dl 8212 tti-ul 8216, rnti 74, time 41.636535, nofg=1 
 Sfworker.cc tti-dl 8554 tti-ul 8558, rnti 74, time 41.978535, nofg=1 
 Sfworker.cc tti-dl 8574 tti-ul 8578, rnti 74, time 41.998535, nofg=1 
 Sfworker.cc tti-dl 8594 tti-ul 8598, rnti 74, time 42.018535, nofg=1 
 Sfworker.cc tti-dl 8614 tti-ul 8618, rnti 74, time 42.038535, nofg=1 
 Sfworker.cc tti-dl 8796 tti-ul 8800, rnti 74, time 42.220535, nofg=1 
 Sfworker.cc tti-dl 778 tti-ul 782, rnti 74, time 54.682535, nofg=1 
 Sfworker.cc tti-dl 1784 tti-ul 1788, rnti 74, time 55.688535, nofg=1 
 Sfworker.cc tti-dl 3786 tti-ul 3790, rnti 74, time 57.690535, nofg=1 
 Sfworker.cc tti-dl 4788 tti-ul 4792, rnti 74, time 58.692535, nofg=1 
 Sfworker.cc tti-dl 5820 tti-ul 5824, rnti 74, time 59.724535, nofg=1 
 Sfworker.cc tti-dl 7822 tti-ul 7826, rnti 74, time 61.726535, nofg=1 
 Sfworker.cc tti-dl 8824 tti-ul 8828, rnti 74, time 62.728535, nofg=1 
 Sfworker.cc tti-dl 1588 tti-ul 1592, rnti 74, time 65.732535, nofg=1 
 Sfworker.cc tti-dl 2616 tti-ul 2620, rnti 74, time 66.760535, nofg=1 
 Sfworker.cc tti-dl 4618 tti-ul 4622, rnti 74, time 68.762535, nofg=1 
 Sfworker.cc tti-dl 8628 tti-ul 8632, rnti 74, time 72.772535, nofg=1 
