 
 Sfworker.cc tti-dl 3427 tti-ul 3431, rnti 2, time 6.143155, nofg=1 
 Sfworker.cc tti-dl 3447 tti-ul 3451, rnti 2, time 6.163155, nofg=1 
 Sfworker.cc tti-dl 3467 tti-ul 3471, rnti 2, time 6.183155, nofg=1 
 Sfworker.cc tti-dl 3487 tti-ul 3491, rnti 2, time 6.203155, nofg=1 
 Sfworker.cc tti-dl 3507 tti-ul 3511, rnti 2, time 6.223155, nofg=1 
 Sfworker.cc tti-dl 7409 tti-ul 7413, rnti 2, time 10.125155, nofg=1 
 Sfworker.cc tti-dl 3468 tti-ul 3472, rnti 2, time 6.184155, nofg=1 
 Sfworker.cc tti-dl 3508 tti-ul 3512, rnti 2, time 6.224155, nofg=1 
 Sfworker.cc tti-dl 3528 tti-ul 3532, rnti 2, time 6.244155, nofg=1 
 Sfworker.cc tti-dl 3568 tti-ul 3572, rnti 2, time 6.284155, nofg=1 
 Sfworker.cc tti-dl 3588 tti-ul 3592, rnti 2, time 6.304155, nofg=1 
 Sfworker.cc tti-dl 3590 tti-ul 3594, rnti 2, time 6.306155, nofg=1 
 Sfworker.cc tti-dl 3608 tti-ul 3612, rnti 2, time 6.324155, nofg=1 
 Sfworker.cc tti-dl 7226 tti-ul 7230, rnti 2, time 9.942155, nofg=1 
 Sfworker.cc tti-dl 7246 tti-ul 7250, rnti 2, time 9.962155, nofg=1 
 Sfworker.cc tti-dl 7266 tti-ul 7270, rnti 2, time 9.982155, nofg=1 
 Sfworker.cc tti-dl 7286 tti-ul 7290, rnti 2, time 10.002155, nofg=1 
 Sfworker.cc tti-dl 7308 tti-ul 7312, rnti 2, time 10.024155, nofg=1 
 Sfworker.cc tti-dl 7330 tti-ul 7334, rnti 2, time 10.046155, nofg=1 
 Sfworker.cc tti-dl 7348 tti-ul 7352, rnti 2, time 10.064155, nofg=1 
 Sfworker.cc tti-dl 7370 tti-ul 7374, rnti 2, time 10.086155, nofg=1 
 Sfworker.cc tti-dl 7388 tti-ul 7392, rnti 2, time 10.104155, nofg=1 
 Sfworker.cc tti-dl 7410 tti-ul 7414, rnti 2, time 10.126155, nofg=1 
 Sfworker.cc tti-dl 1306 tti-ul 1310, rnti 2, time 14.262155, nofg=1 
 Sfworker.cc tti-dl 1326 tti-ul 1330, rnti 2, time 14.282155, nofg=1 
 Sfworker.cc tti-dl 1346 tti-ul 1350, rnti 2, time 14.302155, nofg=1 
 Sfworker.cc tti-dl 1366 tti-ul 1370, rnti 2, time 14.322155, nofg=1 
 Sfworker.cc tti-dl 1390 tti-ul 1394, rnti 2, time 14.346155, nofg=1 
 Sfworker.cc tti-dl 1410 tti-ul 1414, rnti 2, time 14.366155, nofg=1 
 Sfworker.cc tti-dl 1428 tti-ul 1432, rnti 2, time 14.384155, nofg=1 
 Sfworker.cc tti-dl 1450 tti-ul 1454, rnti 2, time 14.406155, nofg=1 
 Sfworker.cc tti-dl 1468 tti-ul 1472, rnti 2, time 14.424155, nofg=1 
 Sfworker.cc tti-dl 1488 tti-ul 1492, rnti 2, time 14.444155, nofg=1 
 Sfworker.cc tti-dl 1490 tti-ul 1494, rnti 2, time 14.446155, nofg=1 
 Sfworker.cc tti-dl 5626 tti-ul 5630, rnti 2, time 18.582155, nofg=1
