 
 Sfworker.cc tti-dl 3877 tti-ul 3881, rnti 2, time 16.850278, nofg=1 
 Sfworker.cc tti-dl 4233 tti-ul 4237, rnti 70, time 17.206278, nofg=1 
 Sfworker.cc tti-dl 4253 tti-ul 4257, rnti 70, time 17.226278, nofg=1 
 Sfworker.cc tti-dl 4273 tti-ul 4277, rnti 70, time 17.246278, nofg=1 
 Sfworker.cc tti-dl 4293 tti-ul 4297, rnti 70, time 17.266278, nofg=1 
 Sfworker.cc tti-dl 4477 tti-ul 4481, rnti 70, time 17.450278, nofg=1 
 Sfworker.cc tti-dl 5495 tti-ul 5499, rnti 70, time 59.428278, nofg=1 
 Sfworker.cc tti-dl 5497 tti-ul 5501, rnti 70, time 59.430278, nofg=1 
 Sfworker.cc tti-dl 5499 tti-ul 5503, rnti 70, time 59.432278, nofg=1 
 Sfworker.cc tti-dl 5501 tti-ul 5505, rnti 70, time 59.434278, nofg=1 
 Sfworker.cc tti-dl 5503 tti-ul 5507, rnti 70, time 59.436278, nofg=1 
 Sfworker.cc tti-dl 5505 tti-ul 5509, rnti 70, time 59.438278, nofg=2 
 Sfworker.cc tti-dl 5507 tti-ul 5511, rnti 70, time 59.440278, nofg=1 
 Sfworker.cc tti-dl 5509 tti-ul 5513, rnti 70, time 59.442278, nofg=1 
 Sfworker.cc tti-dl 6525 tti-ul 6529, rnti 70, time 60.458278, nofg=2 
 Sfworker.cc tti-dl 6527 tti-ul 6531, rnti 70, time 60.460278, nofg=1 
 Sfworker.cc tti-dl 6529 tti-ul 6533, rnti 70, time 60.462278, nofg=1 
 Sfworker.cc tti-dl 6531 tti-ul 6535, rnti 70, time 60.464278, nofg=1 
 Sfworker.cc tti-dl 6533 tti-ul 6537, rnti 70, time 60.466278, nofg=1 
 Sfworker.cc tti-dl 6535 tti-ul 6539, rnti 70, time 60.468278, nofg=1 
 Sfworker.cc tti-dl 6537 tti-ul 6541, rnti 70, time 60.470278, nofg=1 
 Sfworker.cc tti-dl 6539 tti-ul 6543, rnti 70, time 60.472278, nofg=1 
 Sfworker.cc tti-dl 6541 tti-ul 6545, rnti 70, time 60.474278, nofg=1 
 Sfworker.cc tti-dl 6543 tti-ul 6547, rnti 70, time 60.476278, nofg=1 
 Sfworker.cc tti-dl 7549 tti-ul 7553, rnti 70, time 61.482278, nofg=1 
 Sfworker.cc tti-dl 7551 tti-ul 7555, rnti 70, time 61.484278, nofg=1 
 Sfworker.cc tti-dl 7553 tti-ul 7557, rnti 70, time 61.486278, nofg=1 
 Sfworker.cc tti-dl 7555 tti-ul 7559, rnti 70, time 61.488278, nofg=1 
 Sfworker.cc tti-dl 7557 tti-ul 7561, rnti 70, time 61.490278, nofg=1 
 Sfworker.cc tti-dl 7559 tti-ul 7563, rnti 70, time 61.492278, nofg=1 
 Sfworker.cc tti-dl 7561 tti-ul 7565, rnti 70, time 61.494278, nofg=1 
 Sfworker.cc tti-dl 7563 tti-ul 7567, rnti 70, time 61.496278, nofg=1 
 Sfworker.cc tti-dl 8573 tti-ul 8577, rnti 70, time 62.506278, nofg=1 
 Sfworker.cc tti-dl 8575 tti-ul 8579, rnti 70, time 62.508278, nofg=1 
 Sfworker.cc tti-dl 8577 tti-ul 8581, rnti 70, time 62.510278, nofg=1 
 Sfworker.cc tti-dl 8579 tti-ul 8583, rnti 70, time 62.512278, nofg=1 
 Sfworker.cc tti-dl 8581 tti-ul 8585, rnti 70, time 62.514278, nofg=1 
 Sfworker.cc tti-dl 8583 tti-ul 8587, rnti 70, time 62.516278, nofg=1 
 Sfworker.cc tti-dl 8585 tti-ul 8589, rnti 70, time 62.518278, nofg=2 
 Sfworker.cc tti-dl 8587 tti-ul 8591, rnti 70, time 62.520278, nofg=1 
 Sfworker.cc tti-dl 8589 tti-ul 8593, rnti 70, time 62.522278, nofg=1 
 Sfworker.cc tti-dl 8591 tti-ul 8595, rnti 70, time 62.524278, nofg=1 
 Sfworker.cc tti-dl 9597 tti-ul 9601, rnti 70, time 63.530278, nofg=1 
 Sfworker.cc tti-dl 9599 tti-ul 9603, rnti 70, time 63.532278, nofg=1 
 Sfworker.cc tti-dl 9601 tti-ul 9605, rnti 70, time 63.534278, nofg=1 
 Sfworker.cc tti-dl 9603 tti-ul 9607, rnti 70, time 63.536278, nofg=1 
 Sfworker.cc tti-dl 9605 tti-ul 9609, rnti 70, time 63.538278, nofg=2 
 Sfworker.cc tti-dl 9607 tti-ul 9611, rnti 70, time 63.540278, nofg=1 
 Sfworker.cc tti-dl 9609 tti-ul 9613, rnti 70, time 63.542278, nofg=2 
 Sfworker.cc tti-dl 9611 tti-ul 9615, rnti 70, time 63.544278, nofg=1 
 Sfworker.cc tti-dl 9613 tti-ul 9617, rnti 70, time 63.546278, nofg=1 
 Sfworker.cc tti-dl 381 tti-ul 385, rnti 70, time 64.554278, nofg=1 
 Sfworker.cc tti-dl 383 tti-ul 387, rnti 70, time 64.556278, nofg=1 
 Sfworker.cc tti-dl 385 tti-ul 389, rnti 70, time 64.558278, nofg=2 
 Sfworker.cc tti-dl 387 tti-ul 391, rnti 70, time 64.560278, nofg=1 
 Sfworker.cc tti-dl 389 tti-ul 393, rnti 70, time 64.562278, nofg=1 
 Sfworker.cc tti-dl 391 tti-ul 395, rnti 70, time 64.564278, nofg=1 
 Sfworker.cc tti-dl 393 tti-ul 397, rnti 70, time 64.566278, 
 Sfworker.cc tti-dl 3894 tti-ul 3898, rnti 70, time 16.867278, nofg=1 
 Sfworker.cc tti-dl 4232 tti-ul 4236, rnti 70, time 17.205278, nofg=1 
 Sfworker.cc tti-dl 5494 tti-ul 5498, rnti 70, time 59.427278, nofg=1 
 Sfworker.cc tti-dl 5496 tti-ul 5500, rnti 70, time 59.429278, nofg=1 
 Sfworker.cc tti-dl 5498 tti-ul 5502, rnti 70, time 59.431278, nofg=1 
 Sfworker.cc tti-dl 5500 tti-ul 5504, rnti 70, time 59.433278, nofg=1 
 Sfworker.cc tti-dl 5502 tti-ul 5506, rnti 70, time 59.435278, nofg=1 
 Sfworker.cc tti-dl 5504 tti-ul 5508, rnti 70, time 59.437278, nofg=1 
 Sfworker.cc tti-dl 5506 tti-ul 5510, rnti 70, time 59.439278, nofg=1 
 Sfworker.cc tti-dl 5508 tti-ul 5512, rnti 70, time 59.441278, nofg=1 
 Sfworker.cc tti-dl 6526 tti-ul 6530, rnti 70, time 60.459278, nofg=1 
 Sfworker.cc tti-dl 6528 tti-ul 6532, rnti 70, time 60.461278, nofg=1 
 Sfworker.cc tti-dl 6530 tti-ul 6534, rnti 70, time 60.463278, nofg=1 
 Sfworker.cc tti-dl 6532 tti-ul 6536, rnti 70, time 60.465278, nofg=1 
