 
 Sfworker.cc tti-dl 6118 tti-ul 6122, rnti 2, time 8.852601, nofg=1 
 Sfworker.cc tti-dl 6134 tti-ul 6138, rnti 71, time 8.868601, nofg=1 
 Sfworker.cc tti-dl 6474 tti-ul 6478, rnti 71, time 9.208601, nofg=1 
 Sfworker.cc tti-dl 6494 tti-ul 6498, rnti 71, time 9.228601, nofg=1 
 Sfworker.cc tti-dl 6514 tti-ul 6518, rnti 71, time 9.248601, nofg=1 
 Sfworker.cc tti-dl 6534 tti-ul 6538, rnti 71, time 9.268601, nofg=1 
 Sfworker.cc tti-dl 6554 tti-ul 6558, rnti 71, time 9.288601, nofg=1 
 Sfworker.cc tti-dl 6634 tti-ul 6638, rnti 71, time 9.368601, nofg=1 
 Sfworker.cc tti-dl 6654 tti-ul 6658, rnti 71, time 9.388601, nofg=1 
 Sfworker.cc tti-dl 6834 tti-ul 6838, rnti 71, time 9.568601, nofg=1 
 Sfworker.cc tti-dl 3858 tti-ul 3862, rnti 71, time 16.832601, nofg=1 
 Sfworker.cc tti-dl 3860 tti-ul 3864, rnti 71, time 16.834601, nofg=1 
 Sfworker.cc tti-dl 3862 tti-ul 3866, rnti 71, time 16.836601, nofg=1 
 Sfworker.cc tti-dl 4858 tti-ul 4862, rnti 71, time 17.832601, nofg=1 
 Sfworker.cc tti-dl 4860 tti-ul 4864, rnti 71, time 17.834601, nofg=1 
 Sfworker.cc tti-dl 4862 tti-ul 4866, rnti 71, time 17.836601, nofg=1 
 Sfworker.cc tti-dl 5882 tti-ul 5886, rnti 71, time 18.856601, nofg=1 
 Sfworker.cc tti-dl 5884 tti-ul 5888, rnti 71, time 18.858601, nofg=1 
 Sfworker.cc tti-dl 5886 tti-ul 5890, rnti 71, time 18.860601, nofg=1 
 Sfworker.cc tti-dl 6907 tti-ul 6911, rnti 71, time 19.881601, nofg=1 
 Sfworker.cc tti-dl 6909 tti-ul 6913, rnti 71, time 19.883601, nofg=1 
 Sfworker.cc tti-dl 6911 tti-ul 6915, rnti 71, time 19.885601, nofg=1 
 Sfworker.cc tti-dl 7931 tti-ul 7935, rnti 71, time 20.905601, nofg=1 
 Sfworker.cc tti-dl 7933 tti-ul 7937, rnti 71, time 20.907601, nofg=1 
 Sfworker.cc tti-dl 7935 tti-ul 7939, rnti 71, time 20.909601, nofg=1 
 Sfworker.cc tti-dl 8955 tti-ul 8959, rnti 71, time 21.929601, nofg=1 
 Sfworker.cc tti-dl 8957 tti-ul 8961, rnti 71, time 21.931601, nofg=1 
 Sfworker.cc tti-dl 8959 tti-ul 8963, rnti 71, time 21.933601, nofg=1 
 Sfworker.cc tti-dl 9979 tti-ul 9983, rnti 71, time 22.953601, nofg=1 
 Sfworker.cc tti-dl 9981 tti-ul 9985, rnti 71, time 22.955601, nofg=1 
 Sfworker.cc tti-dl 9983 tti-ul 9987, rnti 71, time 22.957601, nofg=1 
 Sfworker.cc tti-dl 739 tti-ul 743, rnti 71, time 23.953601, nofg=1 
 Sfworker.cc tti-dl 741 tti-ul 745, rnti 71, time 23.955601, nofg=1 
 Sfworker.cc tti-dl 743 tti-ul 747, rnti 71, time 23.957601, nofg=1 
 Sfworker.cc tti-dl 1755 tti-ul 1759, rnti 71, time 24.969601, nofg=1 
 Sfworker.cc tti-dl 1757 tti-ul 1761, rnti 71, time 24.971601, nofg=1 
 Sfworker.cc tti-dl 1759 tti-ul 1763, rnti 71, time 24.973601, nofg=1 
 Sfworker.cc tti-dl 2779 tti-ul 2783, rnti 71, time 25.993601, nofg=1 
 Sfworker.cc tti-dl 2781 tti-ul 2785, rnti 71, time 25.995601, nofg=1 
 Sfworker.cc tti-dl 2783 tti-ul 2787, rnti 71, time 25.997601, nofg=1 
 Sfworker.cc tti-dl 3781 tti-ul 3785, rnti 71, time 26.995601, nofg=1 
 Sfworker.cc tti-dl 3783 tti-ul 3787, rnti 71, time 26.997601, nofg=1 
 Sfworker.cc tti-dl 3785 tti-ul 3789, rnti 71, time 26.999601, nofg=2 
 Sfworker.cc tti-dl 4781 tti-ul 4785, rnti 71, time 27.995601, nofg=1 
 Sfworker.cc tti-dl 4783 tti-ul 4787, rnti 71, time 27.997601, nofg=1 
 Sfworker.cc tti-dl 4785 tti-ul 4789, rnti 71, time 27.999601, nofg=2 
 Sfworker.cc tti-dl 5787 tti-ul 5791, rnti 71, time 29.001601, nofg=1 
 Sfworker.cc tti-dl 5789 tti-ul 5793, rnti 71, time 29.003601, nofg=1 
 Sfworker.cc tti-dl 5791 tti-ul 5795, rnti 71, time 29.005601, nofg=1 
 Sfworker.cc tti-dl 6811 tti-ul 6815, rnti 71, time 30.025601, nofg=1 
 Sfworker.cc tti-dl 6813 tti-ul 6817, rnti 71, time 30.027601, nofg=1 
 Sfworker.cc tti-dl 6815 tti-ul 6819, rnti 71, time 30.029601, nofg=1 
 Sfworker.cc tti-dl 7835 tti-ul 7839, rnti 71, time 31.049601, nofg=1 
 Sfworker.cc tti-dl 7837 tti-ul 7841, rnti 71, time 31.051601, nofg=1 
 Sfworker.cc tti-dl 7839 tti-ul 7843, rnti 71, time 31.053601, nofg=1 
 Sfworker.cc tti-dl 8837 tti-ul 8841, rnti 71, time 32.051601, nofg=1 
 Sfworker.cc tti-dl 8839 tti-ul 8843, rnti 71, time 32.053601, nofg=1 
 Sfworker.cc tti-dl 8841 tti-ul 8845, rnti 71, time 32.055601, n 
 Sfworker.cc tti-dl 6117 tti-ul 6121, rnti 2, time 8.851601, nofg=1 
 Sfworker.cc tti-dl 3859 tti-ul 3863, rnti 71, time 16.833601, nofg=2 
 Sfworker.cc tti-dl 3861 tti-ul 3865, rnti 71, time 16.835601, nofg=1 
 Sfworker.cc tti-dl 3863 tti-ul 3867, rnti 71, time 16.837601, nofg=1 
 Sfworker.cc tti-dl 4859 tti-ul 4863, rnti 71, time 17.833601, nofg=1 
 Sfworker.cc tti-dl 4861 tti-ul 4865, rnti 71, time 17.835601, nofg=1 
 Sfworker.cc tti-dl 4863 tti-ul 4867, rnti 71, time 17.837601, nofg=1 
 Sfworker.cc tti-dl 5883 tti-ul 5887, rnti 71, time 18.857601, nofg=1 
 Sfworker.cc tti-dl 5885 tti-ul 5889, rnti 71, time 18.859601, nofg=2 
 Sfworker.cc tti-dl 5887 tti-ul 5891, rnti 71, time 18.861601, nofg=1 
 Sfworker.cc tti-dl 6906 tti-ul 6910, rnti 71, time 19.880601, nofg=1 
 Sfworker.cc tti-dl 6908 tti-ul 6912, rnti 71, time 19.882601, nofg=1 
 Sfworker.cc tti-dl 6910 tti-ul 6914, rnti 71, time 19.884601, nofg=1 
 Sfworker.cc tti-dl 7930 tti-ul 7934, rnti 71, time 20.904601, nofg=1 
 Sfworker.cc tti-dl 7932 tti-ul 7936, rnti 71, time 20.906601, nofg=1 
 Sfworker.cc tti-dl 7934 tti-ul 7938, rnti 71, time 20.908601, nofg=1 
 Sfworker.cc tti-dl 8954 tti-ul 8958, rnti 71, time 21.928601, nofg=1 
 Sfworker.cc tti-dl 8956 tti-ul 8960, rnti 71, time 21.930601, nofg=1 
 Sfworker.cc tti-dl 8958 tti-ul 8962, rnti 71, time 21.932601, nofg=1 
 Sfworker.cc tti-dl 9978 tti-ul 9982, rnti 71, time 22.952601, nofg=1 
 Sfworker.cc tti-dl 9980 tti-ul 9984, rnti 71, time 22.954601, nofg=1 
 Sfworker.cc tti-dl 9982 tti-ul 9986, rnti 71, time 22.956601, nofg=1 
 Sfworker.cc tti-dl 740 tti-ul 744, rnti 71, time 23.954601, nofg=1 
 Sfworker.cc tti-dl 742 tti-ul 746, rnti 71, time 23.956601, nofg=1 
 Sfworker.cc tti-dl 744 tti-ul 748, rnti 71, time 23.958601, nofg=1 
 Sfworker.cc tti-dl 1754 tti-ul 1758, rnti 71, time 24.968601, nofg=1 
 Sfworker.cc tti-dl 1756 tti-ul 1760, rnti 71, time 24.970601, nofg=1 
 Sfworker.cc tti-dl 1758 tti-ul 1762, rnti 71, time 24.972601, nofg=1 
 Sfworker.cc tti-dl 2778 tti-ul 2782, rnti 71, time 25.992601, nofg=1 
 Sfworker.cc tti-dl 2780 tti-ul 2784, rnti 71, time 25.994601, nofg=1 
 Sfworker.cc tti-dl 2782 tti-ul 2786, rnti 71, time 25.996601, nofg=1 
 Sfworker.cc tti-dl 3780 tti-ul 3784, rnti 71, time 26.994601, nofg=1 
 Sfworker.cc tti-dl 3782 tti-ul 3786, rnti 71, time 26.996601, nofg=1 
 Sfworker.cc tti-dl 3784 tti-ul 3788, rnti 71, time 26.998601, nofg=1 
 Sfworker.cc tti-dl 4782 tti-ul 4786, rnti 71, time 27.996601, nofg=1 
 Sfworker.cc tti-dl 4784 tti-ul 4788, rnti 71, time 27.998601, nofg=1 
 Sfworker.cc tti-dl 4786 tti-ul 4790, rnti 71, time 28.000601, nofg=1 
 Sfworker.cc tti-dl 5786 tti-ul 5790, rnti 71, time 29.000601, nofg=1 
 Sfworker.cc tti-dl 5788 tti-ul 5792, rnti 71, time 29.002601, nofg=1 
 Sfworker.cc tti-dl 5790 tti-ul 5794, rnti 71, time 29.004601, nofg=1 
 Sfworker.cc tti-dl 6810 tti-ul 6814, rnti 71, time 30.024601, nofg=1 
 Sfworker.cc tti-dl 6812 tti-ul 6816, rnti 71, time 30.026601, nofg=1 
 Sfworker.cc tti-dl 6814 tti-ul 6818, rnti 71, time 30.028601, nofg=1 
 Sfworker.cc tti-dl 7834 tti-ul 7838, rnti 71, time 31.048601, nofg=1 
 Sfworker.cc tti-dl 7836 tti-ul 7840, rnti 71, time 31.050601, nofg=1 
 Sfworker.cc tti-dl 7838 tti-ul 7842, rnti 71, time 31.052601, nofg=1 
 Sfworker.cc tti-dl 8836 tti-ul 8840, rnti 71, time 32.050601, nofg=1 
 Sfworker.cc tti-dl 8838 tti-ul 8842, rnti 71, time 32.052601, nofg=1 
 Sfworker.cc tti-dl 8840 tti-ul 8844, rnti 71, time 32.054601, nofg=1 
 Sfworker.cc tti-dl 9850 tti-ul 9854, rnti 71, time 33.064601, nofg=1 
 Sfworker.cc tti-dl 9852 tti-ul 9856, rnti 71, time 33.066601, nofg=1 
 Sfworker.cc tti-dl 9854 tti-ul 9858, rnti 71, time 33.068601, nofg=1 
 Sfworker.cc tti-dl 634 tti-ul 638, rnti 71, time 34.088601, nofg=1 
 Sfworker.cc tti-dl 636 tti-ul 640, rnti 71, time 34.090601, nofg=1 
 Sfworker.cc tti-dl 638 tti-ul 642, rnti 71, time 34.092601, nofg=1 
 Sfworker.cc tti-dl 1658 tti-ul 1662, rnti 71, time 35.112601, nofg=1 
 Sfworker.cc tti-dl 1660 tti-ul 1664, rnti 71, time 35.114601, nofg=1 
 Sfworker.cc tti-dl 1662 tti-ul 1666, rnti 71, time 35.116601ofg=1 
 Sfworker.cc tti-dl 9851 tti-ul 9855, rnti 71, time 33.065601, nofg=1 
 Sfworker.cc tti-dl 9853 tti-ul 9857, rnti 71, time 33.067601, nofg=1 
 Sfworker.cc tti-dl 9855 tti-ul 9859, rnti 71, time 33.069601, nofg=1 
 Sfworker.cc tti-dl 635 tti-ul 639, rnti 71, time 34.089601, nofg=1 
 Sfworker.cc tti-dl 637 tti-ul 641, rnti 71, time 34.091601, nofg=1 
 Sfworker.cc tti-dl 639 tti-ul 643, rnti 71, time 34.093601, nofg=1 
 Sfworker.cc tti-dl 1659 tti-ul 1663, rnti 71, time 35.113601, nofg=1 
 Sfworker.cc tti-dl 1661 tti-ul 1665, rnti 71, time 35.115601, nofg=1 
 Sfworker.cc tti-dl 1663 tti-ul 1667, rnti 71, time 35.117601, nofg=1 
 Sfworker.cc tti-dl 2659 tti-ul 2663, rnti 71, time 36.113601, nofg=1 
 Sfworker.cc tti-dl 2661 tti-ul 2665, rnti 71, time 36.115601, nofg=1 
 Sfworker.cc tti-dl 2663 tti-ul 2667, rnti 71, time 36.117601, nofg=1 
 Sfworker.cc tti-dl 3675 tti-ul 3679, rnti 71, time 37.129601, nofg=1 
 Sfworker.cc tti-dl 3677 tti-ul 3681, rnti 71, time 37.131601, nofg=1 
 Sfworker.cc tti-dl 3679 tti-ul 3683, rnti 71, time 37.133601, nofg=1 
 Sfworker.cc tti-dl 4677 tti-ul 4681, rnti 71, time 38.131601, nofg=1 
 Sfworker.cc tti-dl 4679 tti-ul 4683, rnti 71, time 38.133601, nofg=1 
 Sfworker.cc tti-dl 4681 tti-ul 4685, rnti 71, time 38.135601, nofg=1 
 Sfworker.cc tti-dl 5677 tti-ul 5681, rnti 71, time 39.131601, nofg=1 
 Sfworker.cc tti-dl 5679 tti-ul 5683, rnti 71, time 39.133601, nofg=1 
 Sfworker.cc tti-dl 5681 tti-ul 5685, rnti 71, time 39.135601, nofg=1 
 Sfworker.cc tti-dl 6687 tti-ul 6691, rnti 71, time 40.141601, nofg=1 
 Sfworker.cc tti-dl 6689 tti-ul 6693, rnti 71, time 40.143601, nofg=1 
 Sfworker.cc tti-dl 6691 tti-ul 6695, rnti 71, time 40.145601, nofg=1 
 Sfworker.cc tti-dl 7706 tti-ul 7710, rnti 71, time 41.160601, nofg=1 
 Sfworker.cc tti-dl 7708 tti-ul 7712, rnti 71, time 41.162601, nofg=1 
 Sfworker.cc tti-dl 7710 tti-ul 7714, rnti 71, time 41.164601, nofg=1 
 Sfworker.cc tti-dl 8730 tti-ul 8734, rnti 71, time 42.184601, nofg=1 
 Sfworker.cc tti-dl 8732 tti-ul 8736, rnti 71, time 42.186601, nofg=1 
 Sfworker.cc tti-dl 8734 tti-ul 8738, rnti 71, time 42.188601, nofg=1 
 Sfworker.cc tti-dl 9754 tti-ul 9758, rnti 71, time 43.208601, nofg=1 
 Sfworker.cc tti-dl 9756 tti-ul 9760, rnti 71, time 43.210601, nofg=1 
 Sfworker.cc tti-dl 9758 tti-ul 9762, rnti 71, time 43.212601, nofg=1 
 Sfworker.cc tti-dl 516 tti-ul 520, rnti 71, time 44.210601, nofg=1 
 Sfworker.cc tti-dl 518 tti-ul 522, rnti 71, time 44.212601, nofg=1 
 Sfworker.cc tti-dl 520 tti-ul 524, rnti 71, time 44.214601, nofg=1 
 Sfworker.cc tti-dl 1530 tti-ul 1534, rnti 71, time 45.224601, nofg=1 
 Sfworker.cc tti-dl 1532 tti-ul 1536, rnti 71, time 45.226601, nofg=1 
 Sfworker.cc tti-dl 1534 tti-ul 1538, rnti 71, time 45.228601, nofg=1 
 Sfworker.cc tti-dl 2532 tti-ul 2536, rnti 71, time 46.226601, nofg=1 
 Sfworker.cc tti-dl 2534 tti-ul 2538, rnti 71, time 46.228601, nofg=1 
 Sfworker.cc tti-dl 2536 tti-ul 2540, rnti 71, time 46.230601, nofg=1 
 Sfworker.cc tti-dl 3546 tti-ul 3550, rnti 71, time 47.240601, nofg=1 
