 
 Sfworker.cc tti-dl 8496 tti-ul 8500, rnti 2, time 11.226632, nofg=1 
 Sfworker.cc tti-dl 8518 tti-ul 8522, rnti 2, time 11.248632, nofg=1 
 Sfworker.cc tti-dl 2446 tti-ul 2450, rnti 2, time 15.416632, nofg=1 
 Sfworker.cc tti-dl 2466 tti-ul 2470, rnti 2, time 15.436632, nofg=1 
 Sfworker.cc tti-dl 2486 tti-ul 2490, rnti 2, time 15.456632, nofg=1 
 Sfworker.cc tti-dl 2548 tti-ul 2552, rnti 2, time 15.518632, nofg=1 
 Sfworker.cc tti-dl 6766 tti-ul 6770, rnti 2, time 19.736632, nofg=1 
 Sfworker.cc tti-dl 6806 tti-ul 6810, rnti 2, time 19.776632, nofg=1 
 Sfworker.cc tti-dl 6826 tti-ul 6830, rnti 2, time 19.796632, nofg=1 
 Sfworker.cc tti-dl 6848 tti-ul 6852, rnti 2, time 19.818632, nofg=1 
 Sfworker.cc tti-dl 6866 tti-ul 6870, rnti 2, time 19.836632, nofg=1 
 Sfworker.cc tti-dl 6908 tti-ul 6912, rnti 2, time 19.878632, nofg=1 
 Sfworker.cc tti-dl 6928 tti-ul 6932, rnti 2, time 19.898632, nofg=1 
 Sfworker.cc tti-dl 826 tti-ul 830, rnti 2, time 24.036632, nofg=1 
 Sfworker.cc tti-dl 842 tti-ul 846, rnti 86, time 24.052632, nofg=1 
 Sfworker.cc tti-dl 4876 tti-ul 4880, rnti 86, time 38.326632, nofg=1 
 Sfworker.cc tti-dl 4878 tti-ul 4882, rnti 86, time 38.328632, nofg=1 
 Sfworker.cc tti-dl 4880 tti-ul 4884, rnti 86, time 38.330632, nofg=1 
 Sfworker.cc tti-dl 4882 tti-ul 4886, rnti 86, time 38.332632, nofg=1 
 Sfworker.cc tti-dl 5894 tti-ul 5898, rnti 86, time 39.344632, nofg=1 
 Sfworker.cc tti-dl 5896 tti-ul 5900, rnti 86, time 39.346632, nofg=1 
 Sfworker.cc tti-dl 5898 tti-ul 5902, rnti 86, time 39.348632, nofg=1 
 Sfworker.cc tti-dl 5900 tti-ul 5904, rnti 86, time 39.350632, nofg=1 
 Sfworker.cc tti-dl 6918 tti-ul 6922, rnti 86, time 40.368632, nofg=1 
 Sfworker.cc tti-dl 6920 tti-ul 6924, rnti 86, time 40.370632, nofg=1 
 Sfworker.cc tti-dl 6922 tti-ul 6926, rnti 86, time 40.372632, nofg=1 
 Sfworker.cc tti-dl 6924 tti-ul 6928, rnti 86, time 40.374632, nofg=1 
 Sfworker.cc tti-dl 7943 tti-ul 7947, rnti 86, time 41.393632, nofg=1 
