 
 Sfworker.cc tti-dl 7077 tti-ul 7081, rnti 2, time 9.812853, nofg=1 
 Sfworker.cc tti-dl 7433 tti-ul 7437, rnti 70, time 10.168853, nofg=1 
 Sfworker.cc tti-dl 7453 tti-ul 7457, rnti 70, time 10.188853, nofg=1 
 Sfworker.cc tti-dl 7473 tti-ul 7477, rnti 70, time 10.208853, nofg=1 
 Sfworker.cc tti-dl 7493 tti-ul 7497, rnti 70, time 10.228853, nofg=1 
 Sfworker.cc tti-dl 7513 tti-ul 7517, rnti 70, time 10.248853, nofg=1 
 Sfworker.cc tti-dl 7533 tti-ul 7537, rnti 70, time 10.268853, nofg=1 
 Sfworker.cc tti-dl 7573 tti-ul 7577, rnti 70, time 10.308853, nofg=1 
 Sfworker.cc tti-dl 435 tti-ul 439, rnti 70, time 13.410853, nofg=1 
 Sfworker.cc tti-dl 1437 tti-ul 1441, rnti 70, time 14.412853, nofg=1 
 Sfworker.cc tti-dl 4441 tti-ul 4445, rnti 70, time 17.416853, nofg=1 
 Sfworker.cc tti-dl 8447 tti-ul 8451, rnti 70, time 21.422853, nofg=1 
 Sfworker.cc tti-dl 4273 tti-ul 4277, rnti 70, time 27.488853, nofg=1 
 Sfworker.cc tti-dl 7094 tti-ul 7098, rnti 70, time 9.829853, nofg=1 
 Sfworker.cc tti-dl 7494 tti-ul 7498, rnti 70, time 10.229853, nofg=1 
 Sfworker.cc tti-dl 7736 tti-ul 7740, rnti 70, time 10.471853, nofg=1 
 Sfworker.cc tti-dl 2438 tti-ul 2442, rnti 70, time 15.413853, nofg=1 
 Sfworker.cc tti-dl 3440 tti-ul 3444, rnti 70, time 16.415853, nofg=1 
 Sfworker.cc tti-dl 5442 tti-ul 5446, rnti 70, time 18.417853, nofg=1 
 Sfworker.cc tti-dl 6444 tti-ul 6448, rnti 70, time 19.419853, nofg=1 
 Sfworker.cc tti-dl 7446 tti-ul 7450, rnti 70, time 20.421853, nofg=1 
 Sfworker.cc tti-dl 9448 tti-ul 9452, rnti 70, time 22.423853, nofg=1 
 Sfworker.cc tti-dl 4274 tti-ul 4278, rnti 70, time 27.489853, nofg=1
